raw_row_id,clean_row_id,yr,mo,dy,date,month,season,season_cat,st,mag,mag_raw,mag_num,mag_cat,mag_missing,inj,fat,inj_bin,fat_bin,slat,slon,elat,elon,elat_raw,elon_raw,len,wid,wid_raw,end_missing,wid_missing,len_zero,start_coord_invalid,end_coord_invalid,decade,segment_nn_row,segment_nn_km,segment_nn_cross_state,seg_source_1km,seg_partner_1km,possible_segment_1km,seg_source_2km,seg_partner_2km,possible_segment_2km,segment_cross_state_1km,segment_cross_state_2km
0,0,1950,1,3,1950-01-03,1,Winter,Winter,IL,3,3,3.0,3,0,3,0,1,0,39.1,-89.3,39.12,-89.23,39.12,-89.23,3.6,130.0,130,0,0,0,0,0,1950,1,94.04671381856063,1,0,0,0,0,0,0,0,0
1,1,1950,1,3,1950-01-03,1,Winter,Winter,MO,3,3,3.0,3,0,3,0,1,0,38.77,-90.22,38.83,-90.03,38.83,-90.03,9.5,150.0,150,0,0,0,0,0,1950,0,69.89059322959582,1,0,0,0,0,0,0,0,0
2,2,1950,1,3,1950-01-03,1,Winter,Winter,OH,1,1,1.0,1,0,1,0,1,0,40.88,-84.58,,,0.0,0.0,0.1,10.0,10,1,0,0,0,0,1950,,,0,0,0,0,0,0,0,0,0
3,3,1950,1,13,1950-01-13,1,Winter,Winter,AR,3,3,3.0,3,0,1,1,1,1,34.4,-94.37,,,0.0,0.0,0.6,17.0,17,1,0,0,0,0,1950,,,0,0,0,0,0,0,0,0,0
4,4,1950,1,25,1950-01-25,1,Winter,Winter,IL,2,2,2.0,2,0,0,0,0,0,41.17,-87.33,,,0.0,0.0,0.1,100.0,100,1,0,0,0,0,1950,,,0,0,0,0,0,0,0,0,0
5,5,1950,1,25,1950-01-25,1,Winter,Winter,MO,2,2,2.0,2,0,5,0,1,0,37.6,-90.68,37.63,-90.65,37.63,-90.65,2.3,300.0,300,0,0,0,0,0,1950,4,486.04066733352056,1,0,0,0,0,0,0,0,0
6,6,1950,1,26,1950-01-26,1,Winter,Winter,TX,2,2,2.0,2,0,2,0,1,0,26.88,-98.12,26.88,-98.05,26.88,-98.05,4.7,133.0,133,0,0,0,0,0,1950,,,0,0,0,0,0,0,0,0,0
7,7,1950,2,11,1950-02-11,2,Winter,Winter,TX,2,2,2.0,2,0,0,0,0,0,29.42,-95.25,29.52,-95.13,29.52,-95.13,9.9,400.0,400,0,0,0,0,0,1950,10,18.385564738105007,0,0,0,0,0,0,0,0,0
8,8,1950,2,11,1950-02-11,2,Winter,Winter,TX,2,2,2.0,2,0,5,0,1,0,32.35,-95.2,32.42,-95.2,32.42,-95.2,4.6,100.0,100,0,0,0,0,0,1950,9,81.9885720965351,0,0,0,0,0,0,0,0,0
9,9,1950,2,11,1950-02-11,2,Winter,Winter,TX,2,2,2.0,2,0,6,0,1,0,32.98,-94.63,33.0,-94.7,33.0,-94.7,4.5,67.0,67,0,0,0,0,0,1950,8,86.10475523720913,0,0,0,0,0,0,0,0,0
10,10,1950,2,11,1950-02-11,2,Winter,Winter,TX,3,3,3.0,3,0,12,1,1,1,29.67,-95.05,29.83,-95.0,29.83,-95.0,12.0,1000.0,1000,0,0,0,0,0,1950,7,51.59829072463483,0,0,0,0,0,0,0,0,0
11,11,1950,2,12,1950-02-12,2,Winter,Winter,AR,2,2,2.0,2,0,0,0,0,0,34.48,-92.4,,,0.0,0.0,0.1,100.0,100,1,0,0,0,0,1950,,,0,0,0,0,0,0,0,0,0
12,12,1950,2,12,1950-02-12,2,Winter,Winter,AR,2,2,2.0,2,0,0,0,0,0,33.27,-92.95,33.35,-92.95,33.35,-92.95,5.7,100.0,100,0,0,0,0,0,1950,11,135.51248573770073,0,0,0,0,0,0,0,0,0
13,13,1950,2,12,1950-02-12,2,Winter,Winter,LA,1,1,1.0,1,0,0,0,0,0,32.6,-91.33,,,0.0,0.0,0.5,33.0,33,1,0,0,0,0,1950,,,0,0,0,0,0,0,0,0,0
14,14,1950,2,12,1950-02-12,2,Winter,Winter,LA,2,2,2.0,2,0,10,5,1,1,32.2,-93.58,32.97,-93.17,32.97,-93.17,58.4,100.0,100,0,0,0,0,0,1950,12,39.14795632071278,1,0,0,0,0,0,0,0,0
15,15,1950,2,12,1950-02-12,2,Winter,Winter,LA,3,3,3.0,3,0,25,5,1,1,31.63,-93.65,32.55,-93.03,32.55,-93.03,74.5,100.0,100,0,0,0,0,0,1950,14,64.67182406057407,0,0,0,0,0,0,0,0,0
16,16,1950,2,12,1950-02-12,2,Winter,Winter,LA,4,4,4.0,4,0,77,18,1,1,31.97,-94.0,33.0,-93.3,33.0,-93.3,82.6,100.0,100,0,0,0,0,0,1950,12,44.31067744800884,1,0,0,0,0,0,0,0,0
17,17,1950,2,12,1950-02-12,2,Winter,Winter,MS,1,1,1.0,1,0,0,0,0,0,34.6,-89.12,,,0.0,0.0,2.0,10.0,10,1,0,0,0,0,1950,,,0,0,0,0,0,0,0,0,0
18,18,1950,2,12,1950-02-12,2,Winter,Winter,MS,2,2,2.0,2,0,2,3,1,1,34.6,-89.12,,,0.0,0.0,0.1,10.0,10,1,0,0,0,0,1950,,,0,0,0,0,0,0,0,0,0
19,19,1950,2,12,1950-02-12,2,Winter,Winter,TX,1,1,1.0,1,0,0,0,0,0,32.08,-98.35,32.1,-98.33,32.1,-98.33,2.3,233.0,233,0,0,0,0,0,1950,21,180.13611449829887,0,0,0,0,0,0,0,0,0
20,20,1950,2,12,1950-02-12,2,Winter,Winter,TX,1,1,1.0,1,0,32,0,1,0,31.8,-94.2,31.88,-94.12,31.88,-94.12,7.7,100.0,100,0,0,0,0,0,1950,23,11.672214510282348,0,0,0,0,0,1,1,0,0
21,21,1950,2,12,1950-02-12,2,Winter,Winter,TX,2,2,2.0,2,0,0,0,0,0,31.52,-96.55,31.57,-96.55,31.57,-96.55,3.4,100.0,100,0,0,0,0,0,1950,19,179.26411498084417,0,0,0,0,0,0,0,0,0
22,22,1950,2,12,1950-02-12,2,Winter,Winter,TX,2,2,2.0,2,0,8,1,1,1,33.33,-94.42,33.45,-94.42,33.45,-94.42,8.0,833.0,833,0,0,0,0,0,1950,12,137.98242552394984,1,0,0,0,0,0,0,0,0
