selected_feature,coefficient,abs_coefficient
num__mag_num,1.5479869617329978,1.5479869617329978
cat__region_High Plains,-1.014402029056639,1.014402029056639
num__path_disability_rate_wavg,-0.40394834418481484,0.40394834418481484
cat__region_Northeast,0.3744804647687903,0.3744804647687903
cat__region_Western,-0.3623956710934425,0.3623956710934425
cat__season_Winter,0.29182420949467913,0.29182420949467913
num__mag_missing,-0.2804138477345037,0.2804138477345037
num__start_county_disability_rate,0.27625567371940346,0.27625567371940346
num__end_county_age_65plus_share,-0.2059636994277302,0.2059636994277302
num__len,0.19016651610742105,0.19016651610742105
num__path_age_under18_share_wavg,-0.17471851483258197,0.17471851483258197
num__end_county_disability_rate,0.17370948338434603,0.17370948338434603
num__start_county_unemployment_rate,0.1411796697767535,0.1411796697767535
cat__season_Spring,-0.1309573006339497,0.1309573006339497
num__end_county_unemployment_rate,-0.10959815287406857,0.10959815287406857
num__start_county_mobile_home_share,0.10554246406858486,0.10554246406858486
cat__region_Midwest,-0.09038588864004485,0.09038588864004485
num__path_age_65plus_share_wavg,0.08816495226746415,0.08816495226746415
num__wid,0.07953952537951765,0.07953952537951765
num__path_est_exposed_pop,0.06770699649586415,0.06770699649586415
