selected_feature,coefficient,abs_coefficient
num__mag_num,0.96652830823562,0.96652830823562
cat__mag_cat_0,-0.7967906781236884,0.7967906781236884
num__slon,0.41460480446926673,0.41460480446926673
num__mag_missing,-0.35196318715470476,0.35196318715470476
cat__region_High Plains,-0.3142692296438873,0.3142692296438873
cat__region_Western,0.2916056555968872,0.2916056555968872
cat__season_Summer,-0.26080076236298677,0.26080076236298677
num__yr,-0.2484286381614488,0.2484286381614488
num__len,0.2478167287649698,0.2478167287649698
cat__season_Spring,-0.20388719507446787,0.20388719507446787
cat__season_Winter,0.1915861651781033,0.1915861651781033
num__possible_segment_2km,-0.14034238327313847,0.14034238327313847
num__elon,-0.13992937344843284,0.13992937344843284
cat__region_Northeast,-0.13956164097861587,0.13956164097861587
num__start_county_age_65plus_share,-0.1253414136562978,0.1253414136562978
num__path_est_exposed_pop,0.11384519997961322,0.11384519997961322
num__elat,-0.10311486559973743,0.10311486559973743
cat__mag_cat_2,0.0920575573354545,0.0920575573354545
num__path_population_density_wavg,0.09017341357359913,0.09017341357359913
num__wid,0.08878987262609064,0.08878987262609064
