selected_feature,coefficient,abs_coefficient
num__mag_num,1.319184311555217,1.319184311555217
cat__region_High Plains,-0.7107301569718265,0.7107301569718265
num__mag_missing,-0.36771349536344805,0.36771349536344805
cat__region_Western,-0.3464504161787221,0.3464504161787221
cat__region_Southeast,0.3320589078259096,0.3320589078259096
num__len,0.32943896012681256,0.32943896012681256
cat__season_Winter,0.30720258948184365,0.30720258948184365
cat__region_Northeast,0.2133307698239875,0.2133307698239875
cat__season_Summer,-0.21294566728751296,0.21294566728751296
num__start_county_age_65plus_share,-0.1335766079317653,0.1335766079317653
num__end_missing,0.12785010520875306,0.12785010520875306
num__path_population_density_wavg,0.12713934480781192,0.12713934480781192
num__path_est_exposed_pop,0.12501117218782334,0.12501117218782334
num__path_overlap_area_km2,-0.10838430938583753,0.10838430938583753
cat__season_Spring,-0.10716137369852355,0.10716137369852355
num__start_county_disability_rate,0.08804891074256188,0.08804891074256188
cat__region_Southern,-0.07436035992681601,0.07436035992681601
num__len_zero,-0.07348897864042896,0.07348897864042896
num__start_county_mobile_home_share,0.06733466840678827,0.06733466840678827
num__path_unemployment_rate_wavg,0.06471368508001432,0.06471368508001432
