task,experiment_group,feature_set,model_name,cv_splits,imbalance_strategy,cv_best_auprc,validation_threshold,selected_feature_count,val_precision,val_recall,val_f1,val_auroc,val_auprc,test_precision,test_recall,test_f1,test_auroc,test_auprc,model_id,best_params_json,val_tp,val_fp,val_tn,val_fn,test_tp,test_fp,test_tn,test_fn,selected_features_json
fatality,model_suite,county_selected,xgboost,3,scale_pos_weight=42.0486,0.4315158350600474,0.9301664233207704,20,0.5450236966824644,0.4914529914529914,0.5168539325842697,0.9304835045604042,0.4721653727011847,0.5023474178403756,0.4572649572649572,0.4787472035794183,0.9233627362251104,0.4040377600185457,model_suite|county_selected|xgboost,"{""classifier__colsample_bytree"": 1.0, ""classifier__learning_rate"": 0.03, ""classifier__max_depth"": 3, ""classifier__min_child_weight"": 1, ""classifier__n_estimators"": 350, ""classifier__subsample"": 1.0}",115,96,9735,119,107,106,9725,127,"[""num__mag_num"", ""num__mag_missing"", ""num__len"", ""num__wid"", ""num__start_county_mobile_home_share"", ""num__start_county_unemployment_rate"", ""num__start_county_disability_rate"", ""num__end_county_unemployment_rate"", ""num__end_county_disability_rate"", ""num__end_county_age_65plus_share"", ""num__path_est_exposed_pop"", ""num__path_disability_rate_wavg"", ""num__path_age_under18_share_wavg"", ""num__path_age_65plus_share_wavg"", ""cat__season_Spring"", ""cat__season_Winter"", ""cat__region_High Plains"", ""cat__region_Midwest"", ""cat__region_Northeast"", ""cat__region_Western""]"
fatality,model_suite,county_selected,random_forest,3,class_weight=balanced_subsample,0.4165772303391225,0.541918375664059,20,0.4696969696969697,0.5299145299145299,0.4979919678714859,0.921350090025708,0.4541888998472526,0.4214876033057851,0.4358974358974359,0.4285714285714285,0.9106015595182516,0.3565615856568963,model_suite|county_selected|random_forest,"{""classifier__max_depth"": 20, ""classifier__max_features"": 0.5, ""classifier__min_samples_leaf"": 5, ""classifier__n_estimators"": 500}",124,140,9691,110,102,140,9691,132,"[""num__mag_num"", ""num__mag_missing"", ""num__len"", ""num__wid"", ""num__start_county_mobile_home_share"", ""num__start_county_unemployment_rate"", ""num__start_county_disability_rate"", ""num__end_county_unemployment_rate"", ""num__end_county_disability_rate"", ""num__end_county_age_65plus_share"", ""num__path_est_exposed_pop"", ""num__path_disability_rate_wavg"", ""num__path_age_under18_share_wavg"", ""num__path_age_65plus_share_wavg"", ""cat__season_Spring"", ""cat__season_Winter"", ""cat__region_High Plains"", ""cat__region_Midwest"", ""cat__region_Northeast"", ""cat__region_Western""]"
fatality,baseline_logistic,county_enriched,logistic_regression,3,class_weight=balanced,0.4230278356010774,0.9430442440576988,44,0.5044642857142857,0.4829059829059829,0.4934497816593886,0.9313439868825892,0.4520851757027781,0.4705882352941176,0.4102564102564102,0.4383561643835616,0.926940073568087,0.385242976788419,baseline_logistic|county_enriched|logistic_regression,"{""classifier__C"": 0.01}",113,111,9720,121,96,108,9723,138,"[""num__mag_num"", ""num__mag_missing"", ""num__len"", ""num__wid"", ""num__end_missing"", ""num__wid_missing"", ""num__len_zero"", ""num__start_county_population"", ""num__start_county_population_density_km2"", ""num__start_county_mobile_home_share"", ""num__start_county_median_hh_income"", ""num__start_county_unemployment_rate"", ""num__start_county_disability_rate"", ""num__start_county_age_under18_share"", ""num__start_county_age_65plus_share"", ""num__end_county_population"", ""num__end_county_population_density_km2"", ""num__end_county_mobile_home_share"", ""num__end_county_median_hh_income"", ""num__end_county_unemployment_rate"", ""num__end_county_disability_rate"", ""num__end_county_age_under18_share"", ""num__end_county_age_65plus_share"", ""num__path_counties_n"", ""num__path_overlap_area_km2"", ""num__path_est_exposed_pop"", ""num__path_population_density_wavg"", ""num__path_mobile_home_share_wavg"", ""num__path_median_hh_income_wavg"", ""num__path_unemployment_rate_wavg"", ""num__path_disability_rate_wavg"", ""num__path_age_under18_share_wavg"", ""num__path_age_65plus_share_wavg"", ""cat__season_Fall"", ""cat__season_Spring"", ""cat__season_Summer"", ""cat__season_Winter"", ""cat__region_High Plains"", ""cat__region_Midwest"", ""cat__region_Noncontiguous"", ""cat__region_Northeast"", ""cat__region_Southeast"", ""cat__region_Southern"", ""cat__region_Western""]"
fatality,model_suite,county_selected,svm,3,class_weight=balanced; linear_svm_for_tractability,0.4288974520595396,0.899759090243666,20,0.4830508474576271,0.4871794871794871,0.4851063829787234,0.9303089737938686,0.4479443814265052,0.4439461883408072,0.4230769230769231,0.4332603938730853,0.9256285933124504,0.3863414243201667,model_suite|county_selected|svm,"{""classifier__C"": 0.01}",114,122,9709,120,99,124,9707,135,"[""num__mag_num"", ""num__mag_missing"", ""num__len"", ""num__wid"", ""num__start_county_mobile_home_share"", ""num__start_county_unemployment_rate"", ""num__start_county_disability_rate"", ""num__end_county_unemployment_rate"", ""num__end_county_disability_rate"", ""num__end_county_age_65plus_share"", ""num__path_est_exposed_pop"", ""num__path_disability_rate_wavg"", ""num__path_age_under18_share_wavg"", ""num__path_age_65plus_share_wavg"", ""cat__season_Spring"", ""cat__season_Winter"", ""cat__region_High Plains"", ""cat__region_Midwest"", ""cat__region_Northeast"", ""cat__region_Western""]"
fatality,model_suite,county_selected,logistic_regression,3,class_weight=balanced,0.427542041447214,0.9582394052891304,20,0.5755813953488372,0.4230769230769231,0.4876847290640394,0.9301398767373744,0.4439598212939361,0.5276073619631901,0.3675213675213675,0.4332493702770781,0.9261958726407918,0.3776538026905389,model_suite|county_selected|logistic_regression,"{""classifier__C"": 0.05}",99,73,9758,135,86,77,9754,148,"[""num__mag_num"", ""num__mag_missing"", ""num__len"", ""num__wid"", ""num__start_county_mobile_home_share"", ""num__start_county_unemployment_rate"", ""num__start_county_disability_rate"", ""num__end_county_unemployment_rate"", ""num__end_county_disability_rate"", ""num__end_county_age_65plus_share"", ""num__path_est_exposed_pop"", ""num__path_disability_rate_wavg"", ""num__path_age_under18_share_wavg"", ""num__path_age_65plus_share_wavg"", ""cat__season_Spring"", ""cat__season_Winter"", ""cat__region_High Plains"", ""cat__region_Midwest"", ""cat__region_Northeast"", ""cat__region_Western""]"
fatality,model_suite,county_selected,neural_network,3,balanced_sample_weight,0.429016247901629,0.912443124665014,20,0.5173913043478261,0.5085470085470085,0.5129310344827587,0.9304989362969224,0.4385198742394496,0.4657534246575342,0.4358974358974359,0.4503311258278146,0.9220697305836152,0.3670062289761233,model_suite|county_selected|neural_network,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [128], ""classifier__learning_rate_init"": 0.001}",119,111,9720,115,102,117,9714,132,"[""num__mag_num"", ""num__mag_missing"", ""num__len"", ""num__wid"", ""num__start_county_mobile_home_share"", ""num__start_county_unemployment_rate"", ""num__start_county_disability_rate"", ""num__end_county_unemployment_rate"", ""num__end_county_disability_rate"", ""num__end_county_age_65plus_share"", ""num__path_est_exposed_pop"", ""num__path_disability_rate_wavg"", ""num__path_age_under18_share_wavg"", ""num__path_age_65plus_share_wavg"", ""cat__season_Spring"", ""cat__season_Winter"", ""cat__region_High Plains"", ""cat__region_Midwest"", ""cat__region_Northeast"", ""cat__region_Western""]"
fatality,baseline_logistic,tornado_only,logistic_regression,3,class_weight=balanced,0.4251135612893681,0.9478932140658182,18,0.5091743119266054,0.4743589743589743,0.4911504424778761,0.929956217337969,0.4353722582768183,0.4851485148514851,0.4188034188034188,0.4495412844036697,0.9251908536315006,0.3995049894445234,baseline_logistic|tornado_only|logistic_regression,"{""classifier__C"": 5.0}",111,107,9724,123,98,104,9727,136,"[""num__mag_num"", ""num__mag_missing"", ""num__len"", ""num__wid"", ""num__end_missing"", ""num__wid_missing"", ""num__len_zero"", ""cat__season_Fall"", ""cat__season_Spring"", ""cat__season_Summer"", ""cat__season_Winter"", ""cat__region_High Plains"", ""cat__region_Midwest"", ""cat__region_Noncontiguous"", ""cat__region_Northeast"", ""cat__region_Southeast"", ""cat__region_Southern"", ""cat__region_Western""]"
fatality,model_suite,county_selected,knn,3,no_native_class_weight_support_in_sklearn_knn; distance_weighting_only,0.3395815765577265,0.2029796163166249,20,0.4634146341463415,0.4871794871794871,0.475,0.8845184472282427,0.3691886114702677,0.4311111111111111,0.4145299145299145,0.4226579520697168,0.8729898533072168,0.2977535765040028,model_suite|county_selected|knn,"{""classifier__n_neighbors"": 41, ""classifier__p"": 2}",114,132,9699,120,97,128,9703,137,"[""num__mag_num"", ""num__mag_missing"", ""num__len"", ""num__wid"", ""num__start_county_mobile_home_share"", ""num__start_county_unemployment_rate"", ""num__start_county_disability_rate"", ""num__end_county_unemployment_rate"", ""num__end_county_disability_rate"", ""num__end_county_age_65plus_share"", ""num__path_est_exposed_pop"", ""num__path_disability_rate_wavg"", ""num__path_age_under18_share_wavg"", ""num__path_age_65plus_share_wavg"", ""cat__season_Spring"", ""cat__season_Winter"", ""cat__region_High Plains"", ""cat__region_Midwest"", ""cat__region_Northeast"", ""cat__region_Western""]"
injury,model_suite,county_selected,xgboost,3,scale_pos_weight=7.7297,0.5354494938109275,0.7080931067466736,20,0.4726264726264726,0.5915004336513443,0.5254237288135594,0.8690829850627743,0.5363400642586525,0.4685121107266436,0.5871639202081527,0.5211701308698999,0.8715177972224515,0.5430668092775046,model_suite|county_selected|xgboost,"{""classifier__colsample_bytree"": 1.0, ""classifier__learning_rate"": 0.03, ""classifier__max_depth"": 3, ""classifier__min_child_weight"": 1, ""classifier__n_estimators"": 350, ""classifier__subsample"": 1.0}",682,761,8151,471,677,768,8144,476,"[""num__mag_num"", ""num__mag_missing"", ""num__len"", ""num__end_missing"", ""num__len_zero"", ""num__start_county_mobile_home_share"", ""num__start_county_disability_rate"", ""num__start_county_age_65plus_share"", ""num__path_overlap_area_km2"", ""num__path_est_exposed_pop"", ""num__path_population_density_wavg"", ""num__path_unemployment_rate_wavg"", ""cat__season_Spring"", ""cat__season_Summer"", ""cat__season_Winter"", ""cat__region_High Plains"", ""cat__region_Northeast"", ""cat__region_Southeast"", ""cat__region_Southern"", ""cat__region_Western""]"
injury,model_suite,county_selected,neural_network,3,balanced_sample_weight,0.5269439246078637,0.7254329931013247,20,0.4765342960288808,0.572419774501301,0.5200945626477541,0.8686202841389491,0.5304578931391436,0.4803558191252779,0.562012142237641,0.5179856115107914,0.8707576908883391,0.5452958742272457,model_suite|county_selected|neural_network,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [128], ""classifier__learning_rate_init"": 0.001}",660,725,8187,493,648,701,8211,505,"[""num__mag_num"", ""num__mag_missing"", ""num__len"", ""num__end_missing"", ""num__len_zero"", ""num__start_county_mobile_home_share"", ""num__start_county_disability_rate"", ""num__start_county_age_65plus_share"", ""num__path_overlap_area_km2"", ""num__path_est_exposed_pop"", ""num__path_population_density_wavg"", ""num__path_unemployment_rate_wavg"", ""cat__season_Spring"", ""cat__season_Summer"", ""cat__season_Winter"", ""cat__region_High Plains"", ""cat__region_Northeast"", ""cat__region_Southeast"", ""cat__region_Southern"", ""cat__region_Western""]"
