task,model_1_id,model_1_experiment_group,model_1_feature_set,model_1_name,model_2_id,model_2_experiment_group,model_2_feature_set,model_2_name,auc_1,auc_2,auc_diff,z,p_value,same_model_name,same_feature_set,same_experiment_group
fatality,baseline_logistic|county_enriched|logistic_regression,baseline_logistic,county_enriched,logistic_regression,model_suite|county_selected|knn,model_suite,county_selected,knn,0.926940073568087,0.8729898533072168,0.05395022026087026,5.477399803529609,4.316212609545289e-08,False,False,False
fatality,model_suite|county_selected|knn,model_suite,county_selected,knn,model_suite|county_selected|logistic_regression,model_suite,county_selected,logistic_regression,0.8729898533072168,0.9261958726407918,-0.05320601933357505,5.430265804307316,5.627017851672633e-08,False,True,True
fatality,model_suite|county_selected|knn,model_suite,county_selected,knn,model_suite|county_selected|xgboost,model_suite,county_selected,xgboost,0.8729898533072168,0.9233627362251103,-0.05037288291789355,5.416589254482235,6.074667302513603e-08,False,True,True
fatality,baseline_logistic|tornado_only|logistic_regression,baseline_logistic,tornado_only,logistic_regression,model_suite|county_selected|knn,model_suite,county_selected,knn,0.9251908536315006,0.8729898533072168,0.052201000324283764,5.403191386097333,6.546554409680994e-08,False,False,False
fatality,model_suite|county_selected|knn,model_suite,county_selected,knn,model_suite|county_selected|svm,model_suite,county_selected,svm,0.8729898533072168,0.9256285933124505,-0.05263874000523372,5.373159340672696,7.7368901729713e-08,False,True,True
fatality,model_suite|county_selected|knn,model_suite,county_selected,knn,model_suite|county_selected|neural_network,model_suite,county_selected,neural_network,0.8729898533072168,0.9220697305836153,-0.04907987727639851,5.304022507488845,1.1327833671082033e-07,False,True,True
fatality,model_suite|county_selected|knn,model_suite,county_selected,knn,model_suite|county_selected|random_forest,model_suite,county_selected,random_forest,0.8729898533072168,0.9106015595182516,-0.03761170621103482,4.3621074711178665,1.2881556179289433e-05,False,True,True
fatality,baseline_logistic|county_enriched|logistic_regression,baseline_logistic,county_enriched,logistic_regression,model_suite|county_selected|random_forest,model_suite,county_selected,random_forest,0.926940073568087,0.9106015595182516,0.01633851404983544,3.3396482169648976,0.0008388457468833099,False,False,False
fatality,model_suite|county_selected|logistic_regression,model_suite,county_selected,logistic_regression,model_suite|county_selected|random_forest,model_suite,county_selected,random_forest,0.9261958726407918,0.9106015595182516,0.015594313122540227,3.1819173466998913,0.0014630356445191062,False,True,True
fatality,baseline_logistic|tornado_only|logistic_regression,baseline_logistic,tornado_only,logistic_regression,model_suite|county_selected|random_forest,model_suite,county_selected,random_forest,0.9251908536315006,0.9106015595182516,0.01458929411324894,3.1115254574892637,0.0018612342522263958,False,False,False
