task,best_model_name,feature,mean_abs_shap,rank
injury,xgboost,num__mag_num,1.253860354423523,1
injury,xgboost,num__path_unemployment_rate_wavg,0.3036251962184906,2
injury,xgboost,num__start_county_mobile_home_share,0.24595806002616882,3
injury,xgboost,num__path_population_density_wavg,0.13524584472179413,4
injury,xgboost,cat__region_Southern,0.10679793357849121,5
injury,xgboost,cat__season_Spring,0.10568740963935852,6
injury,xgboost,num__mag_missing,0.08860037475824356,7
injury,xgboost,cat__region_High Plains,0.06856773048639297,8
injury,xgboost,num__len_zero,0.05291905999183655,9
injury,xgboost,cat__region_Western,0.050487227737903595,10
injury,xgboost,num__start_county_disability_rate,0.05011432245373726,11
injury,xgboost,num__len,0.026257412508130074,12
injury,xgboost,num__path_overlap_area_km2,0.02233785390853882,13
injury,xgboost,cat__season_Summer,0.021406659856438637,14
injury,xgboost,num__start_county_age_65plus_share,0.016865257173776627,15
injury,xgboost,num__path_est_exposed_pop,0.015143598429858685,16
injury,xgboost,num__end_missing,0.0007199320825748146,17
injury,xgboost,cat__season_Winter,0.00019396601419430226,18
injury,xgboost,cat__region_Northeast,6.912164099048823e-05,19
injury,xgboost,cat__region_Southeast,0.0,20
fatality,xgboost,num__mag_num,1.9688900709152222,1
fatality,xgboost,num__end_county_age_65plus_share,0.3153386414051056,2
fatality,xgboost,cat__region_Western,0.3049803376197815,3
fatality,xgboost,num__mag_missing,0.13241930305957794,4
fatality,xgboost,num__end_county_disability_rate,0.11326394975185394,5
fatality,xgboost,num__path_age_under18_share_wavg,0.10578039288520813,6
fatality,xgboost,cat__season_Winter,0.08571567386388779,7
fatality,xgboost,cat__region_Northeast,0.07302366197109222,8
fatality,xgboost,num__end_county_unemployment_rate,0.06435856968164444,9
fatality,xgboost,cat__season_Spring,0.062282513827085495,10
fatality,xgboost,num__path_age_65plus_share_wavg,0.05511064454913139,11
fatality,xgboost,num__path_disability_rate_wavg,0.040998674929142,12
fatality,xgboost,num__wid,0.0397723950445652,13
fatality,xgboost,num__len,0.03906578570604324,14
fatality,xgboost,num__start_county_unemployment_rate,0.03576449304819107,15
fatality,xgboost,cat__region_Midwest,0.034375254064798355,16
fatality,xgboost,num__path_est_exposed_pop,0.03039398416876793,17
fatality,xgboost,num__start_county_disability_rate,0.013645700179040432,18
fatality,xgboost,cat__region_High Plains,0.0009378715767525136,19
fatality,xgboost,num__start_county_mobile_home_share,0.0,20
